seed,mamba_bpe_mcc,mamba_char_mcc,difference
1,0.6577780246734619,0.5818707346916199,-0.07590728998184204
2,0.6481418609619141,0.5618443489074707,-0.08629751205444336
3,0.6459359526634216,0.5764257907867432,-0.06951016187667847
4,0.579482913017273,0.5912493467330933,0.011766433715820312
5,0.6540764570236206,0.5583648681640625,-0.0957115888595581
6,0.6728167533874512,0.5817382335662842,-0.09107851982116699
7,0.644633948802948,0.5864896178245544,-0.058144330978393555
8,0.6637130379676819,0.5830199718475342,-0.0806930661201477
9,0.6763581037521362,0.577883780002594,-0.09847432374954224
10,0.6471846699714661,0.5652778744697571,-0.08190679550170898
